MaritalStatus,ApplicationMode,ApplicationOrder,Course,DaytimeEveningAttendance,PreviousQualification,PreviousQualificationGrade,Nationality,MothersQualification,FathersQualification,MothersOccupation,FathersOccupation,AdmissionGrade,Displaced,EducationalSpecialNeeds,Debtor,TuitionFeesUpToDate,Gender,ScholarshipHolder,AgeAtEnrollment,International,CurricularUnits1stSemCredited,CurricularUnits1stSemEnrolled,CurricularUnits1stSemEvaluations,CurricularUnits1stSemApproved,CurricularUnits1stSemGrade,CurricularUnits1stSemWithoutEvaluations,CurricularUnits2ndSemCredited,CurricularUnits2ndSemEnrolled,CurricularUnits2ndSemEvaluations,CurricularUnits2ndSemApproved,CurricularUnits2ndSemGrade,CurricularUnits2ndSemWithoutEvaluations,UnemploymentRate,InflationRate,GDP,Status
Single,1st Phase - Special Contingent (Madeira Island),1,Animation and Multimedia Design,Daytime,Secondary Education - 12th Year of Schooling or Eq.,158,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,164,Yes,0,0,1,Male,Yes,18,No,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,Enrolled
Single,1st Phase - General Contingent,1,Journalism and Communication,Daytime,Secondary Education - 12th Year of Schooling or Eq.,146,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",149,Yes,0,0,1,Male,Yes,21,No,0,6,6,6,13,0,0,6,6,6,14,0,12,3,-1,Graduate
Single,1st Phase - Special Contingent (Madeira Island),2,Communication Design,Daytime,Secondary Education - 12th Year of Schooling or Eq.,133,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,Administrative staff,Specialists in Intellectual and Scientific Activities,122,Yes,0,0,1,Female,No,18,No,0,6,11,1,11,1,0,6,11,4,11,4,7,2,0,Enrolled
Single,Change of Course,1,Management (evening attendance),Evening,Secondary Education - 12th Year of Schooling or Eq.,120,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Intermediate Level Technicians and Professions,Unskilled Workers,100,No,0,0,1,Female,No,34,No,0,5,9,0,0,0,0,5,10,1,11,0,13,0,0,Dropout
Single,2nd Phase - General Contingent,1,Basic Education,Daytime,Secondary Education - 12th Year of Schooling or Eq.,119,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,125,Yes,0,0,1,Female,Yes,21,No,0,6,9,5,12,0,0,6,8,5,11,0,10,1,1,Dropout
Single,1st Phase - General Contingent,1,Journalism and Communication,Daytime,Secondary Education - 12th Year of Schooling or Eq.,132,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,131,Yes,0,0,1,Female,Yes,18,No,0,6,8,5,13,0,0,6,7,6,13,0,15,2,-4,Graduate
Single,1st Phase - General Contingent,1,Animation and Multimedia Design,Daytime,Secondary Education - 12th Year of Schooling or Eq.,130,Portuguese,9th Year of Schooling - Not Completed,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,122,Yes,0,0,1,Male,No,20,No,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,Graduate
Single,1st Phase - General Contingent,1,Management,Daytime,Secondary Education - 12th Year of Schooling or Eq.,132,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",131,Yes,0,0,1,Female,No,18,No,0,5,8,4,12,0,0,5,8,4,12,0,9,0,-3,Enrolled
Single,2nd Phase - General Contingent,2,Informatics Engineering,Daytime,Secondary Education - 12th Year of Schooling or Eq.,133,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Bachelor's Degree,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,117,Yes,0,0,1,Male,No,21,No,0,5,10,5,11,0,0,5,10,3,10,0,12,0,1,Enrolled
Single,2nd Phase - General Contingent,1,Tourism,Daytime,Secondary Education - 12th Year of Schooling or Eq.,119,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,118,Yes,0,0,1,Male,No,19,No,0,6,13,2,10,0,0,6,11,1,12,0,10,1,1,Dropout
Single,2nd Phase - General Contingent,2,Social Service (evening attendance),Evening,Secondary Education - 12th Year of Schooling or Eq.,134,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,(blank),126,Yes,0,0,1,Male,No,22,No,0,6,7,6,12,0,0,6,6,6,12,0,7,2,0,Graduate
Single,Technological Specialization Diploma Holders,1,Agronomy,Daytime,Technological Specialization Course,120,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",120,No,0,0,1,Male,No,23,No,1,6,6,1,11,0,0,6,8,0,0,0,15,2,-4,Dropout
Single,2nd Phase - General Contingent,4,Animation and Multimedia Design,Daytime,Secondary Education - 12th Year of Schooling or Eq.,172,Portuguese,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Specialists in Intellectual and Scientific Activities,Armed Forces Professions,155,Yes,0,0,1,Male,No,19,No,0,0,0,0,0,0,0,0,0,0,0,0,9,0,-3,Dropout
Single,1st Phase - General Contingent,4,Management,Daytime,Secondary Education - 12th Year of Schooling or Eq.,120,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",122,Yes,0,0,1,Male,No,18,No,0,5,6,4,11,0,0,5,12,2,10,0,10,1,1,Enrolled
Single,1st Phase - General Contingent,3,Animation and Multimedia Design,Daytime,Secondary Education - 12th Year of Schooling or Eq.,129,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Intermediate Level Technicians and Professions,127,Yes,0,1,0,Male,Yes,19,No,0,0,0,0,0,0,0,0,0,0,0,0,9,0,-3,Dropout
Single,2nd Phase - General Contingent,1,Management,Daytime,Secondary Education - 12th Year of Schooling or Eq.,118,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,118,Yes,0,0,1,Male,No,19,No,0,5,10,2,10,0,0,5,5,4,11,0,12,0,1,Enrolled
Single,1st Phase - General Contingent,1,Advertising and Marketing Management,Daytime,Secondary Education - 12th Year of Schooling or Eq.,127,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Unskilled Workers,128,No,0,0,1,Male,No,19,No,0,5,8,4,12,0,0,5,6,4,11,0,7,2,0,Enrolled
Single,1st Phase - General Contingent,2,Nursing,Daytime,Secondary Education - 12th Year of Schooling or Eq.,133,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,99,Yes,0,0,1,Male,No,22,No,0,7,9,6,12,0,0,8,12,6,12,0,16,0,0,Enrolled
Single,1st Phase - General Contingent,1,Journalism and Communication,Daytime,Secondary Education - 12th Year of Schooling or Eq.,164,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,161,No,0,0,1,Male,Yes,18,No,0,6,7,6,15,0,0,6,7,6,16,0,13,0,0,Graduate
Single,2nd Phase - General Contingent,1,Social Service,Daytime,Secondary Education - 12th Year of Schooling or Eq.,136,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",140,Yes,0,0,1,Male,No,18,No,0,6,10,4,12,0,0,6,7,5,11,0,9,0,-3,Dropout
Single,2nd Phase - General Contingent,1,Journalism and Communication,Daytime,Secondary Education - 12th Year of Schooling or Eq.,117,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,111,No,0,1,1,Male,No,19,No,0,6,6,4,11,0,0,6,6,3,11,0,16,0,0,Dropout
Single,1st Phase - General Contingent,4,Animation and Multimedia Design,Daytime,Secondary Education - 12th Year of Schooling or Eq.,131,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Student,Intermediate Level Technicians and Professions,149,Yes,0,0,1,Male,No,18,No,0,0,0,0,0,0,0,0,0,0,0,0,11,0,2,Graduate
Single,2nd Phase - General Contingent,6,Advertising and Marketing Management,Daytime,Secondary Education - 12th Year of Schooling or Eq.,110,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Armed Forces Professions,111,No,0,0,1,Male,No,21,No,0,6,10,6,12,0,0,6,11,4,14,0,15,2,-4,Enrolled
Single,1st Phase - General Contingent,2,Tourism,Daytime,Secondary Education - 12th Year of Schooling or Eq.,125,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Legislative Power and Executive Bodies,121,Yes,0,0,1,Male,No,18,No,0,6,12,5,11,0,0,6,11,3,10,0,9,0,-3,Enrolled
Single,Technological Specialization Diploma Holders,1,Agronomy,Daytime,Technological Specialization Course,120,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",120,Yes,0,0,1,Male,No,19,No,0,6,8,6,12,0,0,6,11,5,13,0,12,0,1,Graduate
Single,Over 23 Years Old,1,Agronomy,Daytime,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,133,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,120,No,0,1,0,Male,No,27,No,0,6,11,2,11,0,0,6,7,0,0,0,8,1,3,Dropout
Single,Short Cycle Diploma Holders,1,Agronomy,Daytime,Professional Higher Technical Course,130,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,130,Yes,0,1,1,Male,No,20,No,7,12,16,11,12,0,5,10,12,8,11,0,8,1,3,Enrolled
Single,1st Phase - General Contingent,5,Tourism,Daytime,Secondary Education - 12th Year of Schooling or Eq.,101,Portuguese,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,Unskilled Workers,98,Yes,0,0,1,Male,No,20,No,0,6,10,4,13,0,0,6,6,6,13,0,12,0,1,Graduate
Single,1st Phase - General Contingent,6,Nursing,Daytime,Secondary Education - 12th Year of Schooling or Eq.,141,Portuguese,Higher Education - Master's,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Legislative Power and Executive Bodies,136,Yes,0,0,1,Male,No,18,No,0,8,9,8,12,1,0,8,9,8,12,1,9,0,-3,Graduate
Single,2nd Phase - General Contingent,1,Journalism and Communication,Daytime,Secondary Education - 12th Year of Schooling or Eq.,128,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Armed Forces Professions,125,Yes,0,0,1,Male,No,18,No,0,6,6,6,12,0,0,6,7,5,13,0,12,0,1,Enrolled
Single,1st Phase - General Contingent,2,Communication Design,Daytime,Secondary Education - 12th Year of Schooling or Eq.,145,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",130,Yes,0,0,1,Male,No,18,No,0,6,7,6,12,0,0,6,7,6,12,0,8,1,3,Graduate
Single,1st Phase - General Contingent,1,Management,Daytime,Secondary Education - 12th Year of Schooling or Eq.,160,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",141,Yes,0,0,1,Male,No,18,No,0,5,10,3,10,1,0,5,11,2,12,0,9,0,-3,Dropout
Single,1st Phase - Special Contingent (Madeira Island),5,Veterinary Nursing,Daytime,Secondary Education - 12th Year of Schooling or Eq.,134,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Installation and Machine Operators and Assembly Workers,Installation and Machine Operators and Assembly Workers,123,Yes,0,0,1,Male,No,18,No,0,5,11,5,13,2,0,5,7,5,12,0,9,0,-3,Enrolled
Single,2nd Phase - General Contingent,2,Nursing,Daytime,Secondary Education - 12th Year of Schooling or Eq.,125,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",114,Yes,0,0,1,Female,No,18,No,0,7,11,6,11,0,0,8,12,8,12,0,16,0,0,Graduate
Single,Over 23 Years Old,1,Social Service (evening attendance),Evening,10th Year of Schooling - Not Completed,133,Portuguese,Unknown,Unknown,Student,Student,100,Yes,0,0,0,Female,No,37,No,0,5,9,0,0,0,0,5,5,0,0,5,9,0,-3,Dropout
Married,Over 23 Years Old,1,Social Service (evening attendance),Evening,Secondary Education - 12th Year of Schooling or Eq.,120,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers",Intermediate Level Technicians and Professions,110,No,0,0,1,Female,Yes,36,No,0,6,6,6,11,0,0,6,6,6,11,0,10,1,1,Graduate
Married,Over 23 Years Old,1,Veterinary Nursing,Daytime,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,133,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",101,Yes,0,0,1,Female,No,26,No,0,6,21,3,12,0,0,6,15,2,11,0,15,2,-4,Dropout
Single,1st Phase - General Contingent,1,Veterinary Nursing,Daytime,Secondary Education - 12th Year of Schooling or Eq.,121,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Unskilled Workers,121,No,0,0,1,Female,No,19,No,0,5,9,4,13,1,0,5,8,4,14,0,7,2,0,Graduate
Single,Over 23 Years Old,1,Social Service (evening attendance),Evening,Secondary Education - 12th Year of Schooling or Eq.,120,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Skilled Workers in Industry, Construction and Craftsmen",Administrative staff,95,Yes,0,0,1,Female,No,24,No,0,6,8,5,11,0,0,6,8,5,11,0,15,2,-4,Dropout
Single,1st Phase - General Contingent,2,Journalism and Communication,Daytime,Secondary Education - 12th Year of Schooling or Eq.,130,Colombian,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,126,Yes,0,0,1,Female,Yes,19,Yes,0,6,8,6,13,0,0,6,6,6,13,0,11,0,2,Dropout
Single,Transfer,1,Advertising and Marketing Management,Daytime,Secondary Education - 12th Year of Schooling or Eq.,130,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Armed Forces Professions,116,Yes,0,0,1,Female,Yes,20,No,3,7,10,6,12,0,2,8,8,5,11,0,12,3,-1,Graduate
Single,3rd Phase - General Contingent,1,Advertising and Marketing Management,Daytime,Secondary Education - 12th Year of Schooling or Eq.,128,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Higher Education - Degree,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",120,Yes,0,0,1,Female,No,19,No,0,6,8,6,14,0,0,6,10,5,14,0,11,0,2,Graduate
Single,1st Phase - General Contingent,1,Veterinary Nursing,Daytime,Secondary Education - 12th Year of Schooling or Eq.,126,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,123,Yes,0,0,1,Female,No,21,No,0,5,10,3,11,0,0,5,5,5,13,0,10,1,1,Graduate
Married,Over 23 Years Old,1,Oral Hygiene,Daytime,Secondary Education - 12th Year of Schooling or Eq.,120,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Administrative staff,150,No,0,0,0,Female,No,50,No,0,7,18,6,10,0,0,7,14,4,11,0,12,3,-1,Dropout
Married,Over 23 Years Old,1,Oral Hygiene,Daytime,Secondary Education - 12th Year of Schooling or Eq.,100,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,120,No,0,0,1,Female,No,47,No,1,7,16,6,12,0,0,7,15,4,11,0,12,3,-1,Dropout
Single,Transfer,1,Basic Education,Daytime,Secondary Education - 12th Year of Schooling or Eq.,120,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",111,No,0,0,1,Female,No,24,No,9,13,17,10,11,0,7,13,18,9,10,0,16,0,0,Dropout
Single,Over 23 Years Old,1,Management (evening attendance),Evening,Secondary Education - 12th Year of Schooling or Eq.,110,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Armed Forces Professions,150,No,0,0,0,Female,No,48,No,0,5,5,1,10,0,0,5,5,0,0,0,15,2,-4,Dropout
Single,1st Phase - General Contingent,1,Veterinary Nursing,Daytime,Secondary Education - 12th Year of Schooling or Eq.,127,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Higher Education - Bachelor's Degree,Unskilled Workers,Administrative staff,123,Yes,0,0,1,Female,Yes,18,No,0,6,7,6,15,0,0,6,17,5,12,0,12,0,1,Graduate
Single,Technological Specialization Diploma Holders,1,Management (evening attendance),Evening,Technological Specialization Course,130,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",130,Yes,0,0,1,Male,No,32,No,2,6,9,4,12,0,3,7,7,4,11,0,9,0,-3,Dropout
Single,1st Phase - General Contingent,1,Advertising and Marketing Management,Daytime,Secondary Education - 12th Year of Schooling or Eq.,141,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Higher Education - Degree,Administrative staff,Student,137,Yes,0,0,0,Male,No,20,No,0,5,6,3,12,0,0,5,5,4,12,0,7,2,0,Dropout
Single,Over 23 Years Old,1,Informatics Engineering,Daytime,Secondary Education - 12th Year of Schooling or Eq.,120,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,100,No,0,1,1,Male,No,24,No,0,5,11,0,0,0,0,5,5,0,0,0,16,0,0,Dropout
Married,Over 23 Years Old,1,Equinculture,Daytime,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,133,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,120,No,0,0,1,Male,No,53,No,0,5,9,4,12,2,0,5,8,4,11,0,9,0,-3,Graduate
Married,Over 23 Years Old,1,Journalism and Communication,Daytime,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,133,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Administrative staff,131,No,0,1,0,Male,No,42,No,0,4,5,0,0,0,0,4,4,0,0,0,13,0,0,Dropout
Married,Over 23 Years Old,1,Management (evening attendance),Evening,Other - 11th Year of Schooling,133,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,133,Yes,0,0,1,Male,No,52,No,0,5,5,5,13,0,0,5,5,5,14,0,7,2,0,Graduate
Single,Change of Course,1,Social Service (evening attendance),Evening,Secondary Education - 12th Year of Schooling or Eq.,130,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Higher Education - Degree,Intermediate level technicians of health,Health professionals,100,No,0,0,1,Male,No,54,No,9,13,14,13,13,0,7,11,12,11,12,0,12,3,-1,Enrolled
Married,Over 23 Years Old,1,Management (evening attendance),Evening,Secondary Education - 12th Year of Schooling or Eq.,110,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Armed Forces Professions,150,No,0,0,1,Male,No,49,No,0,5,6,5,12,0,0,5,9,5,11,0,15,2,-4,Graduate
Single,2nd Phase - General Contingent,1,Advertising and Marketing Management,Daytime,Secondary Education - 12th Year of Schooling or Eq.,125,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Personal Services, Security and Safety Workers and Sellers",126,No,0,0,1,Male,Yes,18,No,0,6,7,6,12,0,0,6,7,6,13,1,16,0,0,Graduate
Married,Over 23 Years Old,1,Equinculture,Daytime,Secondary Education - 12th Year of Schooling or Eq.,130,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",154,Yes,0,0,1,Male,No,37,No,1,5,12,3,12,2,1,5,8,4,13,1,10,1,1,Graduate
Single,1st Phase - General Contingent,1,Nursing,Daytime,Secondary Education - 12th Year of Schooling or Eq.,121,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,114,No,0,0,1,Male,Yes,21,No,0,7,9,6,13,0,0,8,10,7,11,0,12,0,1,Graduate
Single,Over 23 Years Old,1,Advertising and Marketing Management,Daytime,12th Year of Schooling - Not Completed,133,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers",Intermediate Level Technicians and Professions,110,No,0,1,1,Male,No,26,No,0,5,5,0,0,0,0,5,5,0,0,0,9,0,-3,Dropout
Single,1st Phase - General Contingent,1,Communication Design,Daytime,Secondary Education - 12th Year of Schooling or Eq.,147,Portuguese,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Specialists in Intellectual and Scientific Activities,Intermediate Level Technicians and Professions,149,Yes,0,0,1,Male,No,20,No,5,12,12,11,14,0,5,12,12,11,14,0,16,0,0,Graduate
Single,1st Phase - General Contingent,4,Nursing,Daytime,Secondary Education - 12th Year of Schooling or Eq.,128,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Intermediate Level Technicians and Professions,117,Yes,0,0,1,Female,Yes,19,No,0,7,9,7,12,0,0,8,9,8,12,0,12,0,1,Graduate
Single,1st Phase - General Contingent,2,Communication Design,Daytime,Secondary Education - 12th Year of Schooling or Eq.,164,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",165,Yes,0,0,1,Female,No,18,No,0,6,7,6,14,0,0,6,7,6,14,0,9,0,-3,Graduate
Single,2nd Phase - General Contingent,5,Nursing,Daytime,Secondary Education - 12th Year of Schooling or Eq.,137,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,127,Yes,0,0,1,Female,No,18,No,0,7,7,7,13,0,0,8,9,8,14,0,12,0,1,Graduate
Single,2nd Phase - General Contingent,2,Social Service (evening attendance),Evening,Secondary Education - 12th Year of Schooling or Eq.,122,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,123,No,0,0,1,Female,No,20,No,0,6,8,5,12,0,0,6,8,6,11,0,10,1,1,Graduate
Single,2nd Phase - General Contingent,4,Tourism,Daytime,Secondary Education - 12th Year of Schooling or Eq.,124,Portuguese,Higher Education - Degree,Higher Education - Degree,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,126,Yes,0,0,1,Female,No,20,No,0,5,5,5,11,0,0,6,11,1,11,0,10,1,1,Dropout
Single,1st Phase - General Contingent,2,Animation and Multimedia Design,Daytime,Secondary Education - 12th Year of Schooling or Eq.,120,Portuguese,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",119,Yes,0,0,1,Female,No,21,No,0,0,0,0,0,0,0,0,0,0,0,0,8,1,3,Dropout
Single,1st Phase - General Contingent,2,Animation and Multimedia Design,Daytime,Secondary Education - 12th Year of Schooling or Eq.,117,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,121,Yes,0,0,1,Female,No,22,No,6,12,12,12,12,0,4,11,16,11,14,0,8,1,3,Graduate
Single,Change of Course,1,Nursing,Daytime,Secondary Education - 12th Year of Schooling or Eq.,140,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",100,No,0,0,1,Female,Yes,18,No,0,7,8,7,13,0,0,8,8,8,14,0,13,0,0,Graduate
